1wF4qg_I6crTGbRXj0W4tywtdqA2k5ZQS	1dyYLbVa2lS9o7oRAEZOpQgZMpUtd15La	folder	8. Google Data Analytics Capstone Complete a Case Study
1KUh0dQEYNXukUEqHPrLFXx46mx_B3myl	1dyYLbVa2lS9o7oRAEZOpQgZMpUtd15La	folder	7. Data Analysis with R Programming
1rEjn7lZ-6g4LHojlE78uVA1wQJ8dtzmS	1dyYLbVa2lS9o7oRAEZOpQgZMpUtd15La	folder	6. Share Data Through the Art of Visualization
1I0FHsihEhMgy7q68UDnvAmT2qAw5syMd	1dyYLbVa2lS9o7oRAEZOpQgZMpUtd15La	folder	4. Process Data from Dirty to Clean
1EL9OOWVXdSE3MIjprb-ad8_CiBNCp6Zi	1dyYLbVa2lS9o7oRAEZOpQgZMpUtd15La	folder	5. Analyze Data to Answer Questions
1mXJwQ-UeM9_kc2XACX17O1HnfAzxNVSR	1dyYLbVa2lS9o7oRAEZOpQgZMpUtd15La	folder	2. Ask Questions to Make Data-Driven Decisions
1gl2G1GgZ4kVg29-3_6hAeFW7JuXMP7wp	1dyYLbVa2lS9o7oRAEZOpQgZMpUtd15La	folder	3. Prepare Data for Exploration
1ngzqQutRTWiz2XA7ETQt5OHFADTm7mmw	1dyYLbVa2lS9o7oRAEZOpQgZMpUtd15La	folder	1. Foundations Data, Data, Everywhere
1_cfjawz2e9pVVHvPlMQPxvbk_nSIp5At	1wF4qg_I6crTGbRXj0W4tywtdqA2k5ZQS	folder	04_putting-your-certificate-to-work
1LV0VK6kL0UlzG4pbKCtJ1jGQnIXpGLy0	1wF4qg_I6crTGbRXj0W4tywtdqA2k5ZQS	folder	02_optional-building-your-portfolio
1ZT3KMGlDBNjlqSBMBEwh74FR2GZcH8mA	1wF4qg_I6crTGbRXj0W4tywtdqA2k5ZQS	folder	01_learn-about-capstone-basics
1_CshdhSCzHaEzdvy1RR8-rdGlJXGuGt3	1wF4qg_I6crTGbRXj0W4tywtdqA2k5ZQS	folder	03_optional-using-your-portfolio
12F3BMD5ysT7csjbi9c33OkCkD_CdyVoT	1KUh0dQEYNXukUEqHPrLFXx46mx_B3myl	folder	02_programming-using-rstudio
19VwswwU21pW0A2Z7US_XpjLYvKniNNsO	1KUh0dQEYNXukUEqHPrLFXx46mx_B3myl	folder	04_more-about-visualizations-aesthetics-and-annotations
15ddl21jlZo-gbgmZh17bxGNau3-ZCamy	1KUh0dQEYNXukUEqHPrLFXx46mx_B3myl	folder	03_working-with-data-in-r
1TMs_s2mzYX81_K8PAYiMXTWkHQDnd47h	1KUh0dQEYNXukUEqHPrLFXx46mx_B3myl	folder	01_programming-and-data-analytics
1xIE6k2_2495A4OGD_JIcyNo5zpnpac1O	1KUh0dQEYNXukUEqHPrLFXx46mx_B3myl	folder	05_documentation-and-reports
1mWAAqCGyqGjF1hYt9GDRuTKv6H254VOW	1rEjn7lZ-6g4LHojlE78uVA1wQJ8dtzmS	folder	03_crafting-data-stories
1G-N_bH2VPyhJkhftlu9iVVrEizhZ5yqN	1rEjn7lZ-6g4LHojlE78uVA1wQJ8dtzmS	folder	01_visualizing-data
19sf1PNFk4bQ1KLWAsNziBy0mZ7i1aJZZ	1rEjn7lZ-6g4LHojlE78uVA1wQJ8dtzmS	folder	04_developing-presentations-and-slideshows
1kb0zQZTDAY3JgL-CRz_qMUp7KU0eUGGM	1rEjn7lZ-6g4LHojlE78uVA1wQJ8dtzmS	folder	02_creating-data-visualizations-with-tableau
1heUeNLTLvnz68dSswYvZYX6Op_qiw-Ss	1I0FHsihEhMgy7q68UDnvAmT2qAw5syMd	folder	04_verify-and-report-on-your-cleaning-results
11LFD8-t0pk9qXJljVB96rsor0CsvoWDb	1I0FHsihEhMgy7q68UDnvAmT2qAw5syMd	folder	07_Resources
14qs7aOZxbwDx8CGq5Zp0wRA7KtGevexo	1I0FHsihEhMgy7q68UDnvAmT2qAw5syMd	folder	03_cleaning-data-with-sql
1F3GadkVHnt9zp6uG7lOI6Z6p4-y5hm8y	1I0FHsihEhMgy7q68UDnvAmT2qAw5syMd	folder	02_sparkling-clean-data
12hAnpOvAwWoY95IUr6bUFD-aICNGc7Zd	1I0FHsihEhMgy7q68UDnvAmT2qAw5syMd	folder	01_the-importance-of-integrity
1JlR9wweOe38J8CzfF8CrSRd86BxKcgr0	1I0FHsihEhMgy7q68UDnvAmT2qAw5syMd	folder	06_course-challenge
