1tVWFuHP4Gaj0hYpASKXQQ7Xl7GZu3xps	11A13gjEOeJJFa2cbU9Pksqfq5Mm7TYtr	02_weekly-challenge-2_exam.html
1K2VKPCDE1-Up7tG4e2Pkm_AJx9OMKmEX	11A13gjEOeJJFa2cbU9Pksqfq5Mm7TYtr	01_glossary-terms-and-definitions_instructions.html
1U4bmZ5tZoePHCXleWOvL2BaFpCJswRd0	11A13gjEOeJJFa2cbU9Pksqfq5Mm7TYtr	01_glossary-terms-and-definitions_Course_7_Week_2_Glossary___DA_terms_and_definitions.docx
1vH4_yszjz-eK0RddjcaUMlgKl-wXEgsL	10XZbuo7Qwpme0U4bY68kCEWEFX8F5LNQ	03_self-reflection-selecting-visuals-and-charts_quiz.html
1E7FtmrGj7T_su4rULAmeepvavYYB9xBI	10XZbuo7Qwpme0U4bY68kCEWEFX8F5LNQ	02_bonus-guide-additional-insights-on-selecting-the-right-data-visualization_How_to_choose_a_data_visualization.pdf
1bThXqoIJXRpmp_unLKA0PsQrGLfo9SYC	10XZbuo7Qwpme0U4bY68kCEWEFX8F5LNQ	05_test-your-knowledge-on-creating-visualizations-in-tableau_quiz.html
1MdihCcSYpY4IxJvOrJv0rNFAByS14ZuD	10XZbuo7Qwpme0U4bY68kCEWEFX8F5LNQ	04_getting-creative.mp4
10gGKmkhgu-fAfyBVcSJ-jR6UBfBsg2y0	10XZbuo7Qwpme0U4bY68kCEWEFX8F5LNQ	01_the-good-the-bad-and-the-ugly.mp4
1ANYjH9BYWPBSHbDiavSPULhYt7okJSnG	10XZbuo7Qwpme0U4bY68kCEWEFX8F5LNQ	01_the-good-the-bad-and-the-ugly.en.txt
1lo-KqcDDDJB7sgh6A9OesulYO2DFWzow	10XZbuo7Qwpme0U4bY68kCEWEFX8F5LNQ	04_getting-creative.en.txt
1vtdPUFnjXUqhjpW1zcnEThgPoZ4oU_nr	10XZbuo7Qwpme0U4bY68kCEWEFX8F5LNQ	02_bonus-guide-additional-insights-on-selecting-the-right-data-visualization_instructions.html
1wg5ry6BA7qVvcqmATm0uuITvPVr3qSWo	10MXi7RKgUBlpmlmsb2sjaXUba5ajKxaA	01_the-amazing-spreadsheet.en.txt
1yJdpk39RPWpcsrOsnCvkXsl0I3yCC_Yd	10MXi7RKgUBlpmlmsb2sjaXUba5ajKxaA	06_learn-more-about-spreadsheet-basics_instructions.html
1egLboIffektBwUg4ga-dRJFJA4sko8Vl	10MXi7RKgUBlpmlmsb2sjaXUba5ajKxaA	03_spreadsheets-and-the-data-life-cycle_instructions.html
1fij80Yp3IhfNSXuXJfMSodFLGMvDs-Ac	10MXi7RKgUBlpmlmsb2sjaXUba5ajKxaA	07_test-your-knowledge-on-working-with-spreadsheets_quiz.html
1b75k4IOUD-94vZybSdaUT401SCh2k2VN	10MXi7RKgUBlpmlmsb2sjaXUba5ajKxaA	05_step-by-step-in-spreadsheets.en.txt
1uzep6jm-jspQfMAMpmejGnQBOHII7Jtz	10MXi7RKgUBlpmlmsb2sjaXUba5ajKxaA	02_get-to-work-with-spreadsheets.mp4
1tsljiaxYhaYv9jd76e8DnoXVe4FBVWg-	10MXi7RKgUBlpmlmsb2sjaXUba5ajKxaA	01_the-amazing-spreadsheet.mp4
19A1-CFyfzF8SWEJJVHJ6xWrM_hYA4h-O	10MXi7RKgUBlpmlmsb2sjaXUba5ajKxaA	02_get-to-work-with-spreadsheets.en.txt
1XRlaM4WF8DndtkUWA3nQydFVdDCy5P5O	10MXi7RKgUBlpmlmsb2sjaXUba5ajKxaA	04_hands-on-activity-introduction-to-google-sheets_quiz.html
1YtireXEg4CFG51xJiMWGBEL9Sejz3oXJ	10MXi7RKgUBlpmlmsb2sjaXUba5ajKxaA	05_step-by-step-in-spreadsheets.mp4
1i39hd4ygyU7wMeetWQLBEjKboHpU478C	11UsinEfTB02enYJbiv-H0EovzkzhJENW	05_test-your-knowledge-on-balancing-team-and-stakeholder-needs_quiz.html
1PySQFRth5YleI3QS8KYkZ8GGee3z1LwJ	11UsinEfTB02enYJbiv-H0EovzkzhJENW	01_communicating-with-your-team.en.txt
1mR09uWrEWOGiI3T5kompX1DEn8zyEQuh	11UsinEfTB02enYJbiv-H0EovzkzhJENW	03_working-with-stakeholders_illusion-agreement-team-project.html
1-2aLw1venFwbCI6Muv6L8HlGPFsZcH6Q	11UsinEfTB02enYJbiv-H0EovzkzhJENW	04_focus-on-what-matters.en.txt
18uc6u9fu0tlBXkmOcFbnmofAIrrUCw0b	11UsinEfTB02enYJbiv-H0EovzkzhJENW	02_balancing-needs-and-expectations-across-your-team.en.txt
1Cb821oF_UlySyxy8MtD5lqQ7r6F3FqZd	11UsinEfTB02enYJbiv-H0EovzkzhJENW	02_balancing-needs-and-expectations-across-your-team.mp4
11TNTkZdGTstGiQ6iPXT5j20zhoRJAf7q	11UsinEfTB02enYJbiv-H0EovzkzhJENW	03_working-with-stakeholders_instructions.html
1AHqBLLYYQU_vM4MH3M2G_JZWZ0hNkByU	11UsinEfTB02enYJbiv-H0EovzkzhJENW	04_focus-on-what-matters.mp4
18Rj8b_x6kyKUVu90hXAA2XTIw4-fa1P5	11UsinEfTB02enYJbiv-H0EovzkzhJENW	01_communicating-with-your-team.mp4
13K-gcZSwuyyz0XpdQiDELkFbHvvLpYYh	10Ji1o9lspqD9iPEqT5ANYJxE--QUs166	01_the-power-of-data-in-business.en.txt
1KC10Cvqj0mAtyDNlhis9ywru7jXAMDXi	10Ji1o9lspqD9iPEqT5ANYJxE--QUs166	03_understanding-data-and-fairness.mp4
13OMoQtaFti0Sqaw4RmBQT0niFUE8sBwE	10Ji1o9lspqD9iPEqT5ANYJxE--QUs166	01_the-power-of-data-in-business.mp4
1UFqinnxAPckdTUP2kbcdfXeQa3Q7eu3X	10Ji1o9lspqD9iPEqT5ANYJxE--QUs166	05_alex-fair-and-ethical-data-decisions.mp4
14_ez_0F23GfgTaAuPbSaAwVqUoJfEUJD	10Ji1o9lspqD9iPEqT5ANYJxE--QUs166	02_rachel-data-detectives.mp4
1ROxhIC8kHCdZ1ywQ-8E5ek1zImnj94_g	10Ji1o9lspqD9iPEqT5ANYJxE--QUs166	03_understanding-data-and-fairness.en.txt
162T8wmx3EArs2gl85Rt8WMaGJcmh-nY8	10Ji1o9lspqD9iPEqT5ANYJxE--QUs166	02_rachel-data-detectives.en.txt
